,Epoch,AUC,PRC,Accuracy,loss
0,0,0.6889417191153401,0.6471780480199564,0.6368559608875517,0.5899604558944702
0,1,0.7645459033545051,0.6471605866867244,0.6471605866867244,0.5361729264259338
0,2,0.785164334386717,0.6471605866867244,0.6471605866867244,0.5154274702072144
0,3,0.8035335599659119,0.6471605866867244,0.6471605866867244,0.4980475306510925
0,4,0.8171345497639773,0.6471605866867244,0.6471605866867244,0.4842775166034698
0,5,0.8247985499201662,0.6471605866867244,0.6471605866867244,0.4747889339923858
0,6,0.8323050479661689,0.6471605866867244,0.6471605866867244,0.4700988829135895
0,7,0.8422498927439618,0.6471605866867244,0.6471605866867244,0.4578369259834289
0,8,0.8414290086925704,0.6471605866867244,0.6471605866867244,0.4587110877037048
0,9,0.8524212164881246,0.6471605866867244,0.6471605866867244,0.4455635249614715
0,10,0.8608588649283508,0.6471605866867244,0.6471605866867244,0.4374590218067169
0,11,0.8630497720542843,0.6471605866867244,0.6471605866867244,0.4330288171768188
0,12,0.8666768794037782,0.68797489263297,0.6952237683339602,0.4309599697589874
0,13,0.8675224157439276,0.7222569413445228,0.7273411056788266,0.4283147156238556
0,14,0.8761506300926798,0.7717735550277118,0.765927040240692,0.4156605303287506
0,15,0.8748092978225414,0.7978267683627626,0.7816472358029334,0.415927916765213
0,16,0.8773398119052667,0.8265654231319467,0.7992478375329071,0.4131207168102264
0,17,0.8824155075631239,0.8460842009959257,0.8128619781872884,0.4043726027011871
0,18,0.8854565098444146,0.8592558354518142,0.8205340353516359,0.3979830741882324
0,19,0.8922917842915318,0.8721215663354763,0.83174125611132,0.3906948268413543
0,20,0.8915762609013906,0.8776620918125887,0.833019932305378,0.3952757120132446
0,21,0.9000625697387235,0.8783799602013345,0.8391124482888304,0.3829014003276825
0,22,0.903810039720164,0.8856270549553781,0.8468597216998872,0.3787153959274292
0,23,0.9089395616064908,0.8944319659534223,0.8547574276043626,0.3704429268836975
0,24,0.9122112300268148,0.8932955618508026,0.854080481383979,0.3666791319847107
0,25,0.9118722796385176,0.9017409968995944,0.8596464836404664,0.3599432110786438
0,26,0.916339571675526,0.903958856596101,0.8609251598345242,0.3593431115150451
0,27,0.9121426000370058,0.899200763449839,0.8562617525385483,0.3670510351657867
0,28,0.92333296763707,0.9071555292726198,0.8707032719067318,0.3517057597637176
0,29,0.9260374847589392,0.9116361488481984,0.8770214366303122,0.3433271050453186
0,30,0.92043441594293,0.9127565102604104,0.8702519744264762,0.3474635183811188
0,31,0.9198951997757062,0.9139655380166284,0.8696502444528018,0.3493102788925171
0,32,0.9330619128729148,0.917081850533808,0.8817600601729974,0.3380973935127258
0,33,0.9324357199622886,0.9160549372484016,0.8814591951861602,0.3356795310974121
0,34,0.9349196300699848,0.9225393817363496,0.8895073335840542,0.32863155007362366
