,Epoch,AUC,PRC,loss
0,0,0.4953644777713656,0.6441456215152509,0.6994010806083679
0,1,0.4982938634085805,0.6452550355747069,0.678920328617096
0,2,0.5085210450271205,0.6453912466843501,0.6639849543571472
0,3,0.5119042681510961,0.6484665427509294,0.6542490124702454
0,4,0.5288270361725139,0.6470142467414368,0.6456854939460754
0,5,0.5368818556280704,0.6471164719185828,0.6393468976020813
0,6,0.540725395207159,0.6471517796673941,0.6352007985115051
0,7,0.5468110914190115,0.6471561841709299,0.6313463449478149
0,8,0.5550925632741253,0.6471605866867244,0.6285261511802673
0,9,0.5556037452054395,0.6471605866867244,0.6266544461250305
0,10,0.5762724346976975,0.6471605866867244,0.6231400370597839
0,11,0.5747742940501217,0.6471605866867244,0.6219905018806458
0,12,0.5854239836889557,0.6471605866867244,0.6197835803031921
0,13,0.5934565293680363,0.6471605866867244,0.6181125640869141
0,14,0.5869557703748565,0.6471605866867244,0.6182155013084412
0,15,0.6037271559999806,0.6471605866867244,0.6165311932563782
0,16,0.6089255308616428,0.6471605866867244,0.6152566075325012
0,17,0.6078166981670887,0.6471605866867244,0.6154446601867676
0,18,0.6181435543159542,0.6471605866867244,0.6152018904685974
0,19,0.6225787612133228,0.6471605866867244,0.6134809851646423
0,20,0.6261852424016194,0.6471605866867244,0.6132194399833679
0,21,0.6317726155141833,0.6471605866867244,0.6123013496398926
0,22,0.6389236498548463,0.6471605866867244,0.6118718981742859
0,23,0.6494426823632622,0.6471605866867244,0.6096166968345642
