,Epoch,AUC,PRC,Accuracy,loss
0,0,0.7767443389673352,0.6556353418669997,0.652801805189921,0.5232455134391785
0,1,0.796698260742625,0.6477144363280367,0.6479127491538172,0.5022888779640198
0,2,0.8052261563806417,0.6471605866867244,0.6471605866867244,0.4964637160301208
0,3,0.8103799093608431,0.6471605866867244,0.6471605866867244,0.4948669672012329
0,4,0.8117672757541099,0.6471605866867244,0.6471605866867244,0.4919847249984741
0,5,0.8364714581994801,0.6471605866867244,0.6471605866867244,0.4777831733226776
0,6,0.8440347803904743,0.6471605866867244,0.6471605866867244,0.4669094979763031
0,7,0.8507164921383727,0.6471605866867244,0.6471605866867244,0.4589088559150696
0,8,0.8578598706426274,0.6471605866867244,0.6471605866867244,0.4524686932563782
0,9,0.8652767532831646,0.6471605866867244,0.6471605866867244,0.4453221559524536
0,10,0.8679932001306994,0.6471605866867244,0.6471605866867244,0.4426529109477997
0,11,0.8669688541745022,0.6471605866867244,0.6471605866867244,0.4414910078048706
0,12,0.8696306695680551,0.6471605866867244,0.6471605866867244,0.4390583336353302
0,13,0.8664857560314364,0.6471605866867244,0.6471605866867244,0.44113820791244507
