,Epoch,AUC,PRC,Accuracy,loss
0,0,0.829103496468594,0.7725153374233129,0.7586741187538044,0.5379359722137451
0,1,0.8670580200054411,0.8004158004158004,0.7847379779757623,0.4818433225154876
0,2,0.8746910200651081,0.8094418490287681,0.7914337889436113,0.4734610617160797
0,3,0.8773765782754154,0.8124223602484472,0.7912124398207072,0.4726645648479461
0,4,0.8794491774614246,0.8034503271861987,0.795141386752255,0.4721151292324066
0,5,0.8837057488297899,0.8179712265301146,0.8015051740357478,0.4655336141586303
0,6,0.8847947626047169,0.8196782178217822,0.7987383099994466,0.4642278850078583
0,7,0.8831093367207035,0.8212717922990092,0.7963588069282276,0.4659960269927978
0,8,0.8830476473694008,0.8238614979299962,0.7985722981572686,0.4669902920722961
0,9,0.8959648373884388,0.8396154819124716,0.8100271152675558,0.4480181038379669
0,10,0.900333455886733,0.8445452254976065,0.8155608433401582,0.4420872628688812
0,11,0.9033516867631198,0.8458917076864824,0.8161695534281446,0.4357946813106537
0,12,0.9041065509065724,0.8496354035705306,0.8206518731669525,0.433822751045227
0,13,0.9071429221048204,0.8548979850462552,0.8228100271152675,0.4299712181091308
0,14,0.9087005751609672,0.8541351487644983,0.82375076088761,0.4274967312812805
0,15,0.9092459982572544,0.8586078707857967,0.8224780034309114,0.4270264506340027
0,16,0.9096994450189152,0.8606787445776984,0.8257429029937469,0.4262884557247162
0,17,0.9081996264956756,0.8558638083228247,0.8251895301864867,0.4284915626049042
