,Unnamed: 0.1,Unnamed: 0,Epoch,AUC,PRC,loss
0,0.0,0.0,0,0.8751363432613428,0.738150023009664,0.49787038564682
1,0.0,,1,0.99033397384687,0.8270066647348595,0.3034172654151916
0,,,2,0.9970822096101609,0.9246301695281287,0.21291705965995789
