,Epoch,AUC,PRC,Accuracy,loss
0,0,0.7700722279851593,0.7297979797979798,0.7224520496427228,0.517494797706604
0,1,0.8172548628435848,0.7607482127117814,0.7533659270402407,0.4732549488544464
0,2,0.8304719335055178,0.7725772577257726,0.7628431741256111,0.4602749347686767
0,3,0.846275834483691,0.7856998177030585,0.7772094772470853,0.4409267008304596
0,4,0.8540557127851279,0.7883211678832117,0.7806694245957126,0.4322340786457062
0,5,0.8700621465617465,0.8013930144422821,0.7954870251974426,0.4124353528022766
0,6,0.8873675081942227,0.8152681257131003,0.8100789770590447,0.3868379592895508
0,7,0.9088913224042676,0.8386513507764305,0.8318164723580294,0.3540193140506744
0,8,0.9272105620612824,0.858109559613319,0.8543813463708161,0.3221897780895233
0,9,0.9406220265499451,0.8758403816959445,0.8742384355020685,0.2925333082675934
