,Epoch,AUC,PRC,loss
0,0,0.8620092803925526,0.7576538833387044,0.4681798815727234
0,1,0.8906351924401336,0.7901689042875704,0.4225607216358185
0,2,0.9010554835962216,0.8028508771929824,0.4071796536445617
0,3,0.9103028619887744,0.8186041367105409,0.3927932381629944
0,4,0.919606843088324,0.833128971129194,0.3755742311477661
0,5,0.9281952007474203,0.8545286078295112,0.3585258424282074
0,6,0.9398882377221524,0.867601778994184,0.3311676681041717
0,7,0.9465397850842526,0.8825437275570486,0.3147402107715606
0,8,0.9551438439273384,0.8930911599034371,0.2904654145240783
0,9,0.9626309430942516,0.9033180778032036,0.2679538428783417
0,10,0.9693855103247602,0.9206018518518518,0.2435045093297958
0,11,0.9707090919440252,0.9250345462920312,0.236710324883461
0,12,0.975836024924018,0.9296632570968856,0.218710720539093
0,13,0.9778376868716676,0.9342787962642684,0.2111990749835968
0,14,0.9791605085585304,0.9370580734902052,0.2075266242027282
0,15,0.9814173668381484,0.9463375057950858,0.1938332468271255
0,16,0.9822499647121712,0.9431295955882352,0.1917065531015396
0,17,0.983778703566108,0.9459397285484242,0.1847706139087677
0,18,0.9855675599271662,0.9523367737446364,0.1767878234386444
0,19,0.9870947360168882,0.9562910852266174,0.1677091121673584
0,20,0.988273777267539,0.9575155853151696,0.1606963872909546
0,21,0.9875055897930978,0.955637707948244,0.1673264056444168
0,22,0.9878636160103736,0.9630402039161164,0.1620166003704071
0,23,0.988017514578813,0.9585301232576892,0.1632020175457
0,24,0.9889696363370452,0.9612322602976808,0.1562051177024841
0,25,0.9903472957266156,0.9607865685372584,0.151694968342781
0,26,0.9883404797213018,0.9606916426512968,0.160169169306755
0,27,0.9888898066638814,0.960720887245841,0.1596293002367019
0,28,0.9894040051183164,0.9582475406085564,0.1562155485153198
0,29,0.9906999350037172,0.9618031658637302,0.1493850648403167
0,30,0.989633713072372,0.960883571099862,0.1529066562652588
0,31,0.990900857453792,0.9650373778033352,0.146553099155426
0,32,0.990452865045664,0.9638927097661624,0.1485814750194549
0,33,0.9909339819266502,0.9657943067033976,0.1464456468820572
0,34,0.9913309179086208,0.96159122085048,0.1473059058189392
0,35,0.990920627953226,0.9662030118404414,0.1458598971366882
0,36,0.9911366080961432,0.9651496044938668,0.1466493904590606
0,37,0.991923536484183,0.964163433006163,0.1449791043996811
0,38,0.9898908031068586,0.9610047023741256,0.154569461941719
0,39,0.991933201108364,0.96639325586694,0.1396734416484832
0,40,0.9919541176348884,0.967397543336012,0.1428788900375366
0,41,0.9901786213757412,0.9661991262359164,0.1504424065351486
0,42,0.9917379107379476,0.966716400780443,0.1442424952983856
0,43,0.99248931228618,0.9654185274247108,0.142008751630783
0,44,0.9913404354491112,0.9650445510623716,0.1460114121437072
0,45,0.991578766184538,0.96643292332452,0.1468122154474258
0,46,0.9906964172521128,0.9632226180898747,0.1535144448280334
0,47,0.9917587966220368,0.9654616624453144,0.1465708166360855
0,48,0.9921383031866516,0.9680470642519322,0.1468936949968338
0,49,0.9914139589090332,0.9680875576036866,0.1473659873008728
0,50,0.9912176818521916,0.9689671144048171,0.15033887326717377
