,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Epoch,AUC,PRC,loss
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,,,,,,,,,,,10,0.6123020396436553,0.6473288186606471,0.6018062233924866
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,,,,,,,,,,,,11,0.626369725760507,0.6472757375075255,0.59822678565979
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,,,,,,,,,,,,,12,0.6348895072029777,0.6472801143631028,0.5950023531913757
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,,,,,,,,,,,,,,13,0.6421492593758724,0.6473022800812702,0.5928932428359985
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,,,,,,,,,,,,,,,14,0.6518086579036328,0.6472048754796479,0.5900525450706482
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,,,,,,,,,,,,,,,,15,0.659746248912698,0.647209267338649,0.5874181985855103
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,,,,,,,,,,,,,,,,,16,0.6688823623502913,0.6473775302882083,0.5851349234580994
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,0.0,,,,,,,,,,,,,,,,,,17,0.6722449840892395,0.6474040632054177,0.5833738446235657
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,,,,,,,,,,,,,,,,,,,18,0.6789801380349781,0.6472270298743321,0.5809385776519775
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,19,0.6807831246733881,0.6471561841709299,0.5802212953567505
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,20,0.6855822067856775,0.6474527804951463,0.5779811143875122
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,21,0.6913052789791743,0.6474219044034626,0.5755805373191833
22,22.0,22.0,22.0,22.0,22.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,22,0.6993243092577348,0.6472979075718802,0.5730800032615662
23,23.0,23.0,23.0,23.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,23,0.6954082869944633,0.6474262492474413,0.5733179450035095
24,24.0,24.0,24.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,24,0.7065624194464787,0.6480114492316963,0.5697767734527588
25,25.0,25.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.7117770970277417,0.6477674873879979,0.5673859715461731
26,26.0,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0.7144134920712788,0.6477101536607411,0.5657916069030762
27,27.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0.7150777535665049,0.6482025774361293,0.5646416544914246
28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0.7203588932227365,0.6481537302185381,0.5620362758636475
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.7184536305561924,0.6483939074046147,0.5622220039367676
